id,key,de
1,siteTitle,Hilf-Mir.Berlin
2,homeWelcomeTitle,Willkommen bei Hilf-Mir.Berlin
3,homeWelcomeText,"Hier findest Du schnell und einfach psychosoziale Hilfsangebote in ganz Berlin, die zu Deiner Situation passen."
4,findOffersButtonText,Angebote finden
5,directHelpButtonText,Sofortige Hilfe
6,moreOffersKVBLinkText,Psychotherapie und psychiatrische Angebote sind unter der Kassenärztlichen Vereinigung zu finden
7,moreOffersKVBLinkUrl,https://www.kvberlin.de/fuer-patienten/arzt-und-psychotherapeutensuche
8,footerInfoPageLinkText,Informationen
9,footerImprintLinkText,Impressum
10,footerImprintLinkUrl,https://www.technologiestiftung-berlin.de/impressum
11,footerPrivacyLinkText,Datenschutz
12,footerPrivacyLinkUrl,https://www.technologiestiftung-berlin.de/datenschutz
13,footerProjectOwnerLabel,Ein Projekt der
14,footerTSBLogoAltText,Logo der Technologiestiftung Berlin
15,footerProjectExecutionerLabel,Durchgeführt vom
16,footerCityLABLogoAltText,Logo vom CityLAB Berlin
17,footerCooperationLabel,"Unterstützt durch die Senatsverwaltung für Wissenschaft, Gesundheit und Pflege (SenWGP)."
19,footerProjectSponsorLabel,Gefördert durch
20,footerSentatskanzleiLogoAltText,Logo der Senatskanzlei Berlin
21,suicidePreventionLabel,Suizidprävention
22,suicidePreventionPhoneNumber,+49 30 666 33 488
23,psychiatricServicesLabel,Sozialpsychiatrischer Dienst
24,emergencyServicesLabel,Krisendienste
25,seelsorgeLabel,Telefon Seelsorge Berlin
26,seelsorgePhoneNumber1,(0800) 111 0 111
27,backText,Zurück
28,neighborhoodCharlottenburgWilmersdorfLabel,Charlottenburg-Wilmersdorf
29,neighborhoodFriedrichshainKreuzbergLabel,Friedrichshain-Kreuzberg
30,neighborhoodLichtenbergLabel,Lichtenberg
31,neighborhoodMarzahnHellersdorfLabel,Marzahn-Hellersdorf
32,neighborhoodMitteLabel,Mitte
33,neighborhoodNeukoellnLabel,Neukölln
34,neighborhoodPankowLabel,Pankow
35,neighborhoodReinickendorfLabel,Reinickendorf
36,neighborhoodSpandauLabel,Spandau
37,neighborhoodSteglitzZehlendorfLabel,Steglitz-Zehlendorf
38,neighborhoodTempelhofSchoenebergLabel,Tempelhof-Schöneberg
39,neighborhoodTrepotowKoepenickLabel,Treptow-Köpenick
40,neighborhoodCharlottenburgWilmersdorfPhoneNumber,+49 30 90291 6044
41,neighborhoodFriedrichshainKreuzbergPhoneNumber,+49 30 90298 8400
42,neighborhoodLichtenbergPhoneNumber,+49 30 90296 7575
43,neighborhoodMarzahnHellersdorfPhoneNumber,+49 30 90293 3751
44,neighborhoodMittePhoneNumber,+49 30 9018 33347
45,neighborhoodNeukoellnPhoneNumber,+49 30 90239 2886
46,neighborhoodPankowPhoneNumber,+49 30 90295 2863
47,neighborhoodReinickendorfPhoneNumber,+49 30 90294 5010
48,neighborhoodSpandauPhoneNumber,+49 30 90279 2355
49,neighborhoodSteglitzZehlendorfPhoneNumber,+49 30 90299 4758
50,neighborhoodTempelhofSchoenebergPhoneNumber,+49 30 90277 7575
51,neighborhoodTrepotowKoepenickPhoneNumber,+49 30 90297 6000
52,emergencyCharlottenburgWilmersdorfPhoneNumber,+49 30 390 63 - 20
53,emergencyFriedrichshainKreuzbergPhoneNumber,+49 30 390 63 - 10
54,emergencyLichtenbergPhoneNumber,+49 30 390 63 - 70
55,emergencyMarzahnHellersdorfPhoneNumber,+49 30 390 63 - 70
56,emergencyMittePhoneNumber,+49 30 390 63 - 10
57,emergencyNeukoellnPhoneNumber,+49 30 390 63 - 90
58,emergencyPankowPhoneNumber,+49 30 390 63 - 40
59,emergencyReinickendorfPhoneNumber,+49 30 390 63 - 50
